S.No,Title,Address,Category,Contact No,District,Area
253,Arsalan Wheel Alignment and Balancing,"Shop No. 03, Sharifabad, Near Gharibabad Chowrangi", Tire shop,0343 2113526,East,Gulshan
254,Arshad Autos,W26G+C7J, Motorcycle parts store,,Central,Nazimabad
255,Arshad Autos Self Generator & Battery Service,3+ years in business  W3F9+84C, Auto electrical service,,Central,Gulberg
256,Arshad Autos(Car Machanic)," B-27 Sardar Ali Sabri Rd, Block 5 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300", Car repair and maintenance, 0300 2613471,East,Gulshan
257,Al Siraj Autos,15+ years in business  national bank, Oil change service, 0332 7998105,East,Gulzar E Hijri
258,ARYAN CAR DETAILING & GLASS COATING,82-s Khalid Bin Walid Rd, Car wash, 0344 3743264,East,Johar
259,Al Syed Car Service Station,X33C+V48,Car wash,,East,Gulzar E Hijri
260,As autos,SB 40, Auto repair shop, 0300 2324804,Central,Nazimabad
261,Asad Autos,W22M+XV5, Tuning automobile, 0321 8910114,Central,Nazimabad
262,Asad Autos Benazir Basti Rashid Minhas Service Lane Road Block II Gulshan e Iqbal,3+ years in business  Rashid Minhas Rd, Mechanic, 0312 3046256,East,Gulshan
263,Asad Car Mechanic,McIver Rd, Mechanic, 0343 2882055,East,Faisal Cantonment
264,Asgar car mechanic for non-efi car,Plot R 13, Car repair and maintenance, 0308 2000555,Central,Nazimabad
265,Asghar autos,"Plot Z, 266", Auto bodywork mechanic,,Central,Nazimabad
266,AL۔REHMAN AUTOS,"N 4079  In Model Park - Metroville 3rd, Block 1 - Gulzar e Hijri", Mechanic,      0316 2106802,East,Gulzar E Hijri
267,ASHFAQ AUTO BODY PARTS : 0300-2238334,W3H9+HC7, Auto parts store, 0346 2383615,Central,Gulberg
268,Al-Bilal autos,X56C+QFW, Auto bodywork mechanic,,East,Gulzar E Hijri
269,Asia Battery Service,W2HF+CVW, Car battery store,,Central,Nazimabad
270,Asian Service Station,W47J+PM6, Chauffeur service,,East,Johar
271,Asif Auto Services,7+ years in business  Lahore, Car repair and maintenance,0333 4322462,Central,Gulberg
272,Asif bike mechanic,Ibn-e-Sina Rd, Auto repair shop,0314 5041648,Central,Nazimabad
273,Al-Habib Car Wash,X43M+745,Chauffeur service,,East,Gulzar E Hijri
274,Asif Mechanic,"40+ years in business  Safina-E-Safdar, Market", Auto repair shop,  0300 3476227,East,Faisal Cantonment
275,asif rent a car,"Atmaram Pritamdas Rd, near yaseen masjid", Car leasing service,      0315 1222661,East,Gulshan
276,Asif Tyre Shop,"Shop no 2, kabari markeet, Street Number 5", Used tire shop,0344 7628727,Central,Nazimabad
277,Asim Car Wash,Shah Faisal Ave  0322 2137811,Car wash,,East,Gulshan
278,askari general insurance company ltd,"AWT Plaza, 3 rd Floor, I.I Chundrigar Rd, New Chali, Karachi, Karachi City, Sindh", Corporate office, (021) 32214333,Central,
279,Askari Tyre Shop,Rashid Minhas Rd, Tire shop,    ,East,Johar
280,Aslam Car AC Repair And Services,Service Rd, Auto air conditioning service,0300 2428004,East,Johar
281,Aslam engineering,Cantonment Graveyard Rd, Auto spring shop, 0305 2619724,East,Johar
282,Aslam Mechanic And Electric,3+ years in business  W33F+WMX, Mechanic, 0345 8220070,East,Gulshan
283,Al-Hamd Autos Muka Chowk,"shop no -2, Shahrah e jahangir block 7 fedral 'B' area crescent plaza",   Auto parts store, 0321 2321928,Central,Nazimabad
284,Aslam Tyres,"Saeed center,Gharibabad chowrangi", Car accessories store, 0317 3365605,East,Johar
285,ASN tyres,Shahrah-e-Qaideen, Tire shop,,East,Johar
286,AST Workshop,W3MC+3GR, Electronics store, 0300 2500570,East,Gulshan
287,Al-Hamd Rent A Car,"Shah Suleman Rd, Block 10, Liaquatabad", ,,Central,Nazimabad
288,Athar Autos car Mechanic Tariq road,Siraj Rd, Machine shop, 0336 3837902,East,Johar
289,Atif Rent A Car,Martin Rd, Car leasing service,0312 9224771,East,Johar
290,Atiq Auto Care Center,W3PC+6JM, Tuning automobile, 0305 2517697,Central,Gulberg
291,Atlas Insurance - Plaza Branch,"3, Rimpa Plaza, M.A Jinnah Rd, Preedy Quarters Karachi, Karachi City, Sindh", Insurance company, (021) 32729339,South,Saddar
292,Atlas Insurance Limited,"Zonal Office, Ground Floor, Federation House,، Shahrah-e-Firdousi, Block 5 Clifton, Karachi, Karachi City, Sindh 75600", Insurance company,,South,Clifton 
293,Atlas Insurance Limited - Corporate Branch,"1501, KS Trade Tower, Shahrah-e-Liaquat, Seari Quarters, Karachi, Karachi City, Sindh", Insurance company,,Central,
294,Atlas Insurance Ltd DHA Branch,"17-C Khayaban-e-Jami, D.H.A. Phase 7 Phase 2 Commercial Area Defence Housing Authority, Karachi, Karachi City, Sindh 75500", Insurance company,,South,DHA
295,AU Enterprises & Car Rental Service,Sharah-e-Quaideen Service Rd, Corporate office,      0321 2884773,East,Johar
296,Auto Artist Car Mechanical Works,3+ years in business  Plot no 204, Auto repair shop, 0321 2700244,East,Johar
297,Auto Bath & Detailing Studio,,Car detailing service,0312 2162281,East,Gulshan
298,Auto care,"Double road, near pso petrol pump water pump ff", Auto electrical service,,Central,Nazimabad
299,Auto Care Car Wash,Abul Asar Hafeez Jalandhari Rd, Car accessories store, 0300 2244332,East,Johar
300,AUTO CARE CAR WASH & SERVICE STATION,88 A, Car wash, 0344 3743264,East,Johar
301,Auto Care Centre,R3W3+JVV, Auto parts store, 0345 2340098,Central,Gulberg
302,Auto City,Mahmoodabad Rd, Mechanic,0308 6859749,East,Johar
303,Alharam Rent A Car Services,W35R+PV6,   Car leasing service, 0312 8533456,East,Gulshan
304,"Auto Crisis ""Online Solution Of Car's Problems""",3+ years in business, Car repair and maintenance, 0316 2645094,East,Gulshan
305,Auto Decor - Goodyear Tyre,Ch Khaliq-uz-Zaman Rd, Tire shop, (021) 35874880,East,Johar
306,Auto Detailing Ceramic Coating,Lahore, Car detailing service, 0321 7617444,Central,Gulberg
307,Auto Electrician,"Plot R, 770", Mechanic,0312 3556932,Central,Gulberg
308,Auto Foam Car Wash & Detailing,, Car wash, 0315 8540611,East,Johar
309,Ali Auto Electrician,7+ years in business  Jinnah Ave Shah Faisal Town,   Auto repair shop,0343 3468221,East,Faisal Cantonment
310,Auto Glass & Windscreen D.H.A,phase 2، 15c 13th Commercial Street, Auto glass shop, (021) 35383616,East,Johar
311,Auto Insurance Agency,"TPL Auto Insurance, Centre Point, Qayyumabad, Karachi, Karachi City, Sindh 54400", Auto insurance agency, 0313 2381234,Korangi,Qayyumabad
312,Auto Mec Fab,3+ years in business  W4CR+W3R, Auto repair shop, 0320 2446244,East,Johar
313,Ali Auto Electrician & Mechanic,7+ years in business  Rashid Minhas Rd Prechs,   Auto repair shop,,East,Johar
314,Auto Oil Traders & Car Wash,Sir Syed Ahmed Rd, Oil change service,      0332 2221140,Central,Nazimabad
315,Auto Parts Shop,W4M3+767, Automotive,,East,Gulshan
316,Auto PPF Paint Protection Film | Car Wrap | Glass Tint,Shop No 2 plot D4 NCHS, Car accessories store,      0313 2144021,East,Johar
317,Auto Rent,Abul Asar Hafeez Jalandhari Rd, Auto broker,0333 3224781,East,Johar
318,Auto Rent a Car,A-4, Car rental agency, 0302 2288543,East,Johar
319,Auto Secure Enterprises,R769, Auto repair shop,0333 2110533,Central,Gulberg
320,auto solution,"Sunday Bazar, shop no 28 alhamra pride st 13 near", Car repair and maintenance, 0333 3124038,East,Gulshan
321,Auto Solutions,"3+ years in business  E67, 1 Abul Hasan Isphahani Rd", Auto repair shop, 0321 2590321,East,Gulshan
322,Auto Spa - Car Wash & Detailing,3+ years in business  W4CR+GCC, Car wash, 0331 0099919,East,Johar
323,Auto Spa Detailing & Wrapping center,Johar Hill Rd, Auto bodywork mechanic, 0345 2314273,East,Johar
324,Ali autos,Abul Hasan Isphahani Rd,      Car repair and maintenance, 0313 1155113,East,Gulzar E Hijri
325,Auto Tech Motors - Pit Stop,5+ years in business  154 F.، 'D' St, Auto repair shop, (021) 36365151,East,Gulshan
326,Auto Telematics Pvt. Ltd.,"Saima Trade Tower, M-19, I.I Chundrigar Rd", GPS supplier,      (021) 37224295,,
327,Auto Tunnel Car Wash,Hyderabad, Car wash,,East,Johar
328,Auto360 Chapter 2,St 6, Car accessories store, 0313 2700360,East,Johar
329,Autobots car care,Qayyumabad Circular Ave Rd ,Car wash, 0333 3313524,East,Gulshan
330,Autoboyz,Lahore, Corporate office,(042) 35782493,Central,Gulberg
331,AutoGate,3+ years in business  Shah Faisal Town, Auto repair shop, 0347 2003207,East,Faisal Cantonment
332,Automan Workshop,W3HX+M9H, Auto repair shop, 0300 2170508,East,Johar
333,Automatic Car Wash,Lahore, Car wash, 0337 9723050,East,Johar
334,Ali Autos,"Plot ST, 8",      Mechanic, 0311 8473866,East,Gulzar E Hijri
335,Ali Autos,3+ years in business  24, Auto electrical service, 0337 1466660,East,Gulzar E Hijri
336,Ali Autos,20+ years in business  opp Alamgir welfare center، Ali Autos، Nizam Uddin Aolia Road, Auto repair shop, 0311 2229358,East,Gulzar E Hijri
337,Automotive batteries,Expo Centre karachi, Car battery store, 0300 3656781,East,Gulshan
338,Ali Autos,2384+5R4, Mechanic, 0313 2703830,East,Gulzar E Hijri
339,AutoTech Engineering Catalytic Cleaning and Computerized Car Tuning,22-C 13th Commercial Street  In GARI PARTS DHA OUTLET, Car repair and maintenance, 0333 3224113,East,Johar
340,Autotrack,"e9, Gulshan-e-Iqbal, Block 10 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh", Insurance company, (021) 111 684 951,East,Gulshan
341,Avis,Merewether Rd, Transportation service,      0300 8206138,East,Johar
342,Awais Tyre Shop,Neher-e-Khayyam, Used tire shop,  0300 2115399,East,Johar
343,Ali Autos Generator and bike spare parts,"Al-Burhan Building, A-313 Cricketers Ave",   Auto parts store,,Central,Nazimabad
344,Awami Car Wash,W4MH+M95, Car wash,,East,Johar
345,AWS Motors,A#60 NCECHS, Car wash,      0335 2023247,East,Johar
346,Ayaan Car Wash,Main Rd, Car wash, 0331 2938739,East,Johar
347,Ayan Autos,W439+X47, Mechanic, 0336 3010116,East,Johar
348,Ayaz Autos 3S Dealers,30+ years in business  Gulshan Apartments, Car repair and maintenance, 0300 2408897,East,Gulshan
349,Ayaz Bhai Shop,3+ years in business  R-315 /17 Samnabad St, Mechanic, 0300 3660277,Central,Gulberg
350,Ayub auto workshop,15+ years in business  Jamia Millia Rd, Mechanic, 0300 2609570,East,Faisal Cantonment
351,Ayub autos workshop,"Azeem pura road, B.4 Bismilah town", Car repair and maintenance, 0316 6041499,East,Faisal Cantonment
352,Ayub Car Service Station,W5V2+99F, Chauffeur service,,Central,Gulberg
353,AZ Rent A Car & Tour,24/11, Car rental agency,      0312 2384334,East,Johar
354,Ali Mir Car Wash,Shahrah-Sher Shah Suri Service Rd N ,, 0313 1187760,East,Gulzar E Hijri
355,Ali Raza bodi meker,Unnamed Road, Auto body shop, 0302 2271021,East,Gulzar E Hijri
356,Azhar Auto Service,Faisalabad, Auto parts store, 0300 7919082,Central,Nazimabad
357,Azhar Bhai Car Mechanic,Al Ahsan Apartment, Machine workshop,,East,Johar
358,AZIZ AUTOS,5C 4/24, Motorcycle parts store, 0331 3187415,Central,Nazimabad
359,Aziz Autos (Haider Mechanic),3+ years in business  W2CH+72F, Motorcycle repair shop, 0321 7249266,Central,Nazimabad
360,Ali Sher Autos,Street Number 1,      Mechanic,,East,Gulzar E Hijri
361,Aziz Autos Car Workshop,"Shop 15,Pak View Apartments, Cantonment Graveyard Rd", Auto dent removal service, 0317 8877923,East,Johar
362,B S tyres,BS 25, Electronics store,0333 3225597,Central,Gulberg
363,B.M Autos and Oil Agency,W5G2+C6V, Auto parts store,,East,Johar
364,Baba Autos (Asim Mengal)," Minhas Road Block 10a, Block 10-A Block 10 A Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",Mechanic,,East,Gulshan
365,Baba Car Wash,In Park View Apartment,    ,,East,Johar
366,Babar Autos,5+ years in business, Motorcycle repair shop, 0346 3520055,Central,Nazimabad
367,Babar autos suzuki 150 machenic,W2HF+FW4,      Motorcycle repair shop,      0346 3520055,Central,Nazimabad
368,Babar Bro's Autos,3+ years in business  W27F+2WM, Motorcycle repair shop, 0331 2896344,Central,Nazimabad
369,Babar Tyres,RX9X+54C, Tire shop, (021) 35820464,Central,Nazimabad
370,Babloo Tyre Shop,Shahrah-e-Jahangir Rd, Tire shop,,East,Gulshan
371,Babu Auto Car Wash,3+ years in business  Karachi, Car wash,,East,Johar
372,Aliyaan & Zayaan Bike Maintanence & Spare Parts,,   Auto parts store, 0334 3643893,Central,Nazimabad
373,Babu Saeed Battery Centre,, Car battery store, (021) 36332352,East,Gulshan
374,Aliyabad Tire Shop,Plot ST 13A,   Tire shop,,East,Gulshan
375,Allah bux ustad,Fatima Zahra St,   Auto repair shop,,East,Johar
376,Bakri Car Wash And Service,5+ years in business  W446+J62, Car wash, (021) 34992620,East,Johar
377,Baloch Autos,W35X+VM6, Tuning automobile,,East,Gulshan
378,Baloch Oil Change & Car Wash Services,"Gulshan-e-Hadeed Phase 2 Extension, C-72 & C-73 ",Car wash, 0313 1173080,East,Gulshan
379,Baloch Wheel Alignment And Tyre Shop,"Pso, Malir City Karachi", Wheel alignment service, 0308 2510075,East,Johar
380,Baltistan Autos,Sidra St, Mechanic, 0343 2770363,East,Johar
381,Bandhani Lubricants,BS 22, Oil change service, 0321 1224090,Central,Gulberg
382,Bangash Battery main dealer,, Battery store, 0335 1251288,East,Johar
383,Bank Al-Habib ATM,Sahba Akhtar Rd,ATM,,East,Gulshan
384,Barkat Tyres,"Mohan Rd, near Urdu Bazar", Tire shop, 0336 3141479,East,Johar
385,Bashir Autos Car AC,5+ years in business  Shop# 590/c، Khushal Rd, Air conditioning repair service, 0300 3624425,East,Johar
386,Bashir's Autoworks,3+ years in business  V5MF+M7P, Mechanic,0334 3381770,East,Faisal Cantonment
387,Basit Autos Mechanic,"Shah Faisal colony block 4 ,near 1 no tanki, Khokhar Club Rd",      Motorcycle repair shop, 0313 8675748,East,Faisal Cantonment
388,Battery Center,"Shop no. A-24, Commercial, 1 Block 18", Battery wholesaler, 0336 3601253,East,Johar
389,Benchmark Oils & Car Rentals,"Shop # 5 Pioneer castle, Scheme 33", Oil change service, 0332 0336789,East,Johar
390,Best CNG,Maymar Ave, Gas station, (021) 36870521,Central,Nazimabad
391,Best Rent A Car,Pehlwan Goth Rd, Car rental agency,      0309 7889356,East,Johar
392,Al-Madina Generators ..ikram,7+ years in business  Kiran Hospital Rd, Auto repair shop,0315 0011922,East,Gulzar E Hijri
393,Bhaiya Bhai Tyre Shop,"Plot # 174, PNS Shifa Hospital, Kala Pull Rd", Tyre manufacturer, 0306 2425607,East,Johar
394,Bhutto Bike Mechanic,3+ years in business  W3X3+35P, Mechanic,,Central,Nazimabad
395,Al-Madina Jannat Autos Suspension Specialist,W3MF+F77,   Auto repair shop,,Central,Gulberg
396,Almakkah auto,Abul Hasan Isphahani Rd,      Auto chemistry shop,,East,Gulzar E Hijri
397,Al-Makkah Auto Parts,W3CQ+CQF,   Auto parts store, 0300 2321245,East,Gulshan
398,Bike Puncture Shop,Unnamed Road, Mechanic,      0333 2777195,Central,Nazimabad
399,Bike repairing workshop,X322+JMG, Mechanic,,Central,Nazimabad
400,Bike Ustad,"Babar Square, Shop no: C-2-1, 2", Auto parts store, 0305 2607161,Central,Gulberg
401,BikeSpa (Wash and Detailing),Nabi Dad Lane Opposite Gabol Park Football Stadium ,Car wash, 0333 2062031,East,Gulshan
402,Bilal Agencies (ServisTyres Distribution),D-84 Allama Rasheed Turabi Rd, Distribution service,,Central,Gulberg
403,Al-Makkah Generators (Repair),7+ years in business  Kiran Hospital Rd, Auto repair shop,(021) 36023207,East,Gulzar E Hijri
404,Al-Mashriq Tyre Traders,Shahrah-e-Usman,   Tire shop,,East,Johar
405,Bilal motor & rent a car,R 115/9, Car leasing service,      0317 2038058,East,Gulshan
406,Bilal Tyre shop,Punjab Rd, Tyre manufacturer,,East,Johar
407,Bilal Tyres& Wheel Alignment,Near Usmania Restaurant Commander school, Tire shop, 0333 2050550,Central,Gulberg
408,Alpha Rent a Car,Office # 16 Shapes Health Club / Gym & Fitness Centre 139 McNeil Road Near Old Race course ground,   Car rental agency,  0333 3930395,East,Johar
409,Bisma Car Wash and Auto Mart,"3+ years in business  H LSB ROW 15 street, 9", Car wash, 0333 3962647,East,Johar
410,Bisma Car Wash Service Station and Auto Mart,"H LSB ROW 15 street, 9", Car wash,0333 3962647,East,Johar
411,Bismillah Auto,"Plot 411 C, Block, 4",      Motorcycle repair shop,,East,Faisal Cantonment
412,Bismillah Auto Workshop,"7+ years in business  Crown Gardens, University Rd", Auto repair shop,,East,Johar
413,Bismillah Autos,Bismillah Autos, Auto machine shop, 0306 7422123,East,Johar
414,Alwar ka rent Aakar,W3PW+JJW,   Car leasing service, 0300 7868865,East,Gulshan
415,Bismillah Car Wash,3+ years in business  W3RC+6QR, Car wash, 0308 2692817,East,Johar
416,Bismillah Puncture Shop,Shahrah Noor Jahan, Tire shop,,Central,Nazimabad
417,Amaan diesel work shop,"abul hassan asphani road,shoper plaza,shop no:21,Ali town,sohrab, goth",      Mechanic, 0336 3625121,East,Gulzar E Hijri
418,Bismillah Rent A Car & Transport service,no c 25 shop، Plot، no 34, Transportation service,      0314 6581143,East,Johar
419,Bismillah Rent Car Service,Ghazi Rd, Car leasing service,      0306 2277899,East,Johar
420,Bismillah service Station,3+ years in business  Azeempura Rd, Car wash,,East,Johar
421,Bismillah Service Station & Car Wash,"3+ years in business  R 33, R 33", Car wash, 0300 8972227,East,Johar
422,Ameen Auto Workshop,3+ years in business  W2C3+22C,   Auto tune up service, 0300 2173239,Central,Gulberg
423,BK Auto Workshop,shop 1, Mechanic, 0345 3018130,East,Faisal Cantonment
424,Black Box (Pvt.) Ltd,, Corporate office, (021) 111 146 228,,
425,Ameen autos,Plot R 410,   Mechanic,0300 2143446,Central,Gulberg
426,Ameer Car Excel Expert,"3+ years in business  Block 7 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",   Car repair and maintenance, 0344 2776305,East,Gulshan
427,Bridgestone Tyre Distributor,"Plot No. 79-C, National Highway Road, Ph-II (Ext), DHA, Karachi", Tire shop, (021) 35804646,East,Johar
428,Brisk Auto Care,house # 128 Faran CHS, Car detailing service, 0336 1161800,East,Johar
429,Ameer Jan CNG Workshop,W3XR+CM8, CNG fittment center,,East,Gulzar E Hijri
430,Amir auto.s,Abul Hasan Isphahani Rd  In The Big Buy Super Market,      Auto repair shop,      0304 3384909,East,Gulzar E Hijri
431,Bubbles Car Care,"5+ years in business  Plot # 20, Sector A, 4th Commercial Street Opp. Defence Police Station، Main Main Korangi Rd", Car detailing service, 0300 8233793,East,Johar
432,Bukhari Tyre Shop,"W5V2+75V, Memon Medical Institute Hospital, Hyder Buksh Gabol Road, Safoora Chowrangi, K.D.A  In PSO Petrol Pump", Gas station,      0302 7800618,East,Johar
433,Bumper and light Repair Shop(ALRAFAY),"3+ years in business  Shop No 4 ground floor ,Building 15C on، 13th Commercial Street", Auto body shop, (021) 35383616,Central,Nazimabad
434,Bunair enterprises AULICE tyre,"Habib Bank Plaza, Mauripur Road، near crown tyre market", Tire shop, 0333 3680599,Central,Nazimabad
435,Buraq traders .. imported tyres whole sale dealer,Sultan Complex, Tire shop, 0311 2332862,East,Johar
436,Burhan Rent A Car,University Rd, Car rental agency,      0321 2098809,East,Johar
437,Burhani Rent A Car,"Shop # A8, SF 13", Car rental agency,0315 1195556,Central,Nazimabad
438,Burki Tyre Trader,Mauripur Rd, Tire shop, 0302 2107522,Central,Nazimabad
439,Burney's Car Clinic,5+ years in business  Jehangir Rd Number 2, Auto repair shop, (021) 34919992,East,Faisal Cantonment
440,Butt Workshop,3+ years in business  W52M+P3W, Auto body shop,0333 2808760,East,Faisal Cantonment
441,Byco CNG & Petrol & diesel pump,Abul Hasan Isphahani Rd, Gas station, 0315 2220390,East,Gulshan
442,Bykea partner,A 352, Auto parts store,,Central,Nazimabad
443,Amir tyer shop,R3XP+VFV,   Tire shop, 0348 0275918,Central,Nazimabad
444,Caltex Havoline Xpress lube (SNF OIL AND BATTERY),"Shop no 11 four square apartment, University Rd, near mehmal CNG pump mausamiyat", Oil change service, 0343 2100931,East,Johar
445,Cambiyo Pro,Karachi City  0320 0001669,Auto restoration service,,East,Gulshan
446,Canon Bush & Mount,"Shop#1 Ali corner Block#7, Khi, near metropolitan school mukka chowk", Car repair and maintenance, 0330 2266626,Central,Gulberg
